,Time Control,Time Control Name,Time Control Mapped,Rating Difference,Opening ECO,Oppening Name,Opening Name Mapped,White's Number of Mistakes,Black's Number of Mistakes,Winner
7427,30 + 25,Classic,3,461,C50,Italian Game,4,1,0,Black
7443,10 + 15,Rapid,2,-136,C42,Petroff Defense,2,4,1,Black
7445,5 + 0,Blitz,1,-182,D00,Queen Pawn Game,3,5,8,White
7448,30 + 25,Classic,3,-554,D00,Queen Pawn Game,3,1,1,Black
7457,5 + 0,Blitz,1,-557,D00,Queen Pawn Game,3,5,4,Black
7458,15 + 0,Rapid,2,-118,B20,Sicilian Defense,1,2,1,Black
7466,10 + 15,Rapid,2,-113,C50,Italian Game,4,5,5,Black
7467,10 + 15,Rapid,2,100,C50,Italian Game,4,0,1,White
7481,10 + 0,Rapid,2,-89,D00,Queen Pawn Game,3,0,2,White
7485,30 + 0,Classic,3,-328,B20,Sicilian Defense,1,1,0,Black
7486,15 + 0,Rapid,2,-404,B20,Sicilian Defense,1,2,2,Black
7487,5 + 5,Blitz,1,300,C50,Italian Game,4,5,8,White
7489,10 + 15,Rapid,2,-142,C50,Italian Game,4,3,1,Black
7493,3 + 0,Blitz,1,194,D00,Queen Pawn Game,3,8,3,Black
7495,15 + 0,Rapid,2,-28,D00,Queen Pawn Game,3,1,2,White
7496,10 + 0,Rapid,2,46,D00,Queen Pawn Game,3,2,3,Black
7498,10 + 0,Rapid,2,-155,B20,Sicilian Defense,1,2,2,White
7500,10 + 15,Rapid,2,-113,B20,Sicilian Defense,1,3,0,Black
7509,15 + 0,Rapid,2,-458,B20,Sicilian Defense,1,4,1,Black
7523,10 + 15,Rapid,2,-18,D00,Queen Pawn Game,3,6,2,Black
7549,5 + 0,Blitz,1,308,B20,Sicilian Defense,1,7,5,Black
7553,30 + 25,Classic,3,-27,D00,Queen Pawn Game,3,0,2,White
7557,60 + 0,Classic,3,114,C50,Italian Game,4,3,0,Black
7577,5 + 5,Blitz,1,135,C50,Italian Game,4,2,4,White
7579,3 + 2,Blitz,1,-255,D00,Queen Pawn Game,3,4,5,White
7581,15 + 0,Rapid,2,-385,D00,Queen Pawn Game,3,2,0,Black
7587,10 + 15,Rapid,2,58,C42,Petroff Defense,2,2,6,White
7593,10 + 15,Rapid,2,71,C50,Italian Game,4,4,4,White
7605,3 + 0,Blitz,1,-33,B20,Sicilian Defense,1,5,4,Black
7626,3 + 0,Blitz,1,-258,D00,Queen Pawn Game,3,5,2,Black
7628,15 + 0,Rapid,2,-93,B20,Sicilian Defense,1,6,5,White
7633,10 + 0,Rapid,2,-30,B20,Sicilian Defense,1,2,3,White
7670,10 + 0,Rapid,2,9,D00,Queen Pawn Game,3,4,6,White
7693,60 + 10,Classic,3,41,B20,Sicilian Defense,1,0,2,White
7697,10 + 15,Rapid,2,94,D00,Queen Pawn Game,3,0,2,White
7709,15 + 0,Rapid,2,-106,C42,Petroff Defense,2,5,2,Black
7734,60 + 10,Classic,3,16,D00,Queen Pawn Game,3,2,0,Black
7736,10 + 0,Rapid,2,-87,D00,Queen Pawn Game,3,0,3,White
7737,60 + 0,Classic,3,86,D00,Queen Pawn Game,3,1,0,Draw
7738,30 + 25,Classic,3,-24,D00,Queen Pawn Game,3,0,1,White
7742,3 + 2,Blitz,1,-70,B20,Sicilian Defense,1,7,5,Black
7746,30 + 25,Classic,3,-35,C42,Petroff Defense,2,2,0,Black
7748,10 + 0,Rapid,2,18,C42,Petroff Defense,2,5,2,Black
7752,10 + 0,Rapid,2,14,C42,Petroff Defense,2,4,2,White
7755,5 + 5,Blitz,1,28,D00,Queen Pawn Game,3,5,8,White
7783,15 + 0,Rapid,2,-246,C50,Italian Game,4,4,2,Black
7822,30 + 25,Classic,3,-23,C50,Italian Game,4,0,1,White
7825,5 + 5,Blitz,1,146,B20,Sicilian Defense,1,2,4,White
7836,10 + 0,Rapid,2,6,C42,Petroff Defense,2,5,6,White
7837,3 + 2,Blitz,1,-56,B20,Sicilian Defense,1,6,4,Black
7861,15 + 0,Rapid,2,-25,C50,Italian Game,4,5,2,Black
7864,3 + 0,Blitz,1,57,C42,Petroff Defense,2,7,5,White
7883,5 + 5,Blitz,1,-387,C50,Italian Game,4,7,5,Black
7888,3 + 0,Blitz,1,-250,C42,Petroff Defense,2,4,2,Black
7897,3 + 0,Blitz,1,-10,C42,Petroff Defense,2,7,4,Black
7906,5 + 5,Blitz,1,-114,B20,Sicilian Defense,1,5,3,Black
7909,30 + 25,Classic,3,-70,D00,Queen Pawn Game,3,0,4,White
7912,15 + 0,Rapid,2,70,B20,Sicilian Defense,1,1,0,Black
7915,15 + 0,Rapid,2,119,C50,Italian Game,4,0,2,White
7932,60 + 0,Classic,3,3,C42,Petroff Defense,2,0,3,White
7934,15 + 0,Rapid,2,-2,C50,Italian Game,4,2,4,White
7977,10 + 0,Rapid,2,93,C50,Italian Game,4,4,3,White
7989,30 + 25,Classic,3,197,D00,Queen Pawn Game,3,2,0,Black
7991,60 + 10,Classic,3,-221,D00,Queen Pawn Game,3,1,1,White
7994,60 + 0,Classic,3,-256,C50,Italian Game,4,1,1,Black
7995,5 + 0,Blitz,1,224,D00,Queen Pawn Game,3,8,7,White
7996,5 + 0,Blitz,1,170,C50,Italian Game,4,4,7,White
8017,30 + 25,Classic,3,192,C42,Petroff Defense,2,1,2,White
8019,3 + 0,Blitz,1,217,C50,Italian Game,4,7,6,White
8020,10 + 0,Rapid,2,35,B20,Sicilian Defense,1,4,2,Black
8028,10 + 15,Rapid,2,12,C50,Italian Game,4,4,1,Black
8033,3 + 0,Blitz,1,-22,B20,Sicilian Defense,1,2,4,Black
8037,10 + 15,Rapid,2,-16,B20,Sicilian Defense,1,2,5,White
8039,10 + 0,Rapid,2,-6,B20,Sicilian Defense,1,1,3,Black
8041,3 + 0,Blitz,1,1,D00,Queen Pawn Game,3,9,12,White
8052,15 + 0,Rapid,2,87,D00,Queen Pawn Game,3,5,6,White
8054,3 + 2,Blitz,1,-82,B20,Sicilian Defense,1,3,3,Black
8055,10 + 0,Rapid,2,45,D00,Queen Pawn Game,3,1,4,White
8057,10 + 15,Rapid,2,-455,B20,Sicilian Defense,1,3,1,Black
8062,3 + 0,Blitz,1,14,C50,Italian Game,4,13,8,Draw
8070,5 + 0,Blitz,1,302,D00,Queen Pawn Game,3,3,5,Black
8071,3 + 0,Blitz,1,269,C42,Petroff Defense,2,7,8,Black
8085,3 + 0,Blitz,1,242,D00,Queen Pawn Game,3,3,7,White
8089,10 + 0,Rapid,2,333,D00,Queen Pawn Game,3,2,0,White
8131,15 + 0,Rapid,2,-50,D00,Queen Pawn Game,3,3,0,Black
8143,10 + 15,Rapid,2,-4,B20,Sicilian Defense,1,5,4,White
8146,5 + 0,Blitz,1,-8,D00,Queen Pawn Game,3,5,4,White
8156,3 + 0,Blitz,1,-171,B20,Sicilian Defense,1,6,7,White
8162,10 + 15,Rapid,2,18,B20,Sicilian Defense,1,3,3,White
8213,3 + 0,Blitz,1,-318,D00,Queen Pawn Game,3,5,6,Black
8214,30 + 25,Classic,3,-23,C50,Italian Game,4,3,1,Black
8222,3 + 0,Blitz,1,455,C50,Italian Game,4,13,12,White
8231,3 + 2,Blitz,1,351,B20,Sicilian Defense,1,10,9,Black
8235,3 + 2,Blitz,1,-164,D00,Queen Pawn Game,3,6,4,Black
8239,3 + 2,Blitz,1,-386,B20,Sicilian Defense,1,7,7,Black
8259,3 + 2,Blitz,1,-282,B20,Sicilian Defense,1,7,5,Black
8266,60 + 0,Classic,3,7,C50,Italian Game,4,0,1,White
8269,15 + 0,Rapid,2,-115,C50,Italian Game,4,5,3,Black
8271,3 + 0,Blitz,1,54,C50,Italian Game,4,10,11,White
8275,5 + 5,Blitz,1,-180,C50,Italian Game,4,8,6,Black
8276,5 + 5,Blitz,1,422,C50,Italian Game,4,4,6,White
8280,15 + 0,Rapid,2,197,D00,Queen Pawn Game,3,1,5,White
8281,5 + 5,Blitz,1,-222,B20,Sicilian Defense,1,11,11,White
8282,3 + 2,Blitz,1,-266,B20,Sicilian Defense,1,6,3,Black
8283,10 + 0,Rapid,2,-264,C50,Italian Game,4,6,1,Black
8285,10 + 15,Rapid,2,57,D00,Queen Pawn Game,3,4,3,White
8287,15 + 0,Rapid,2,175,C50,Italian Game,4,1,3,White
8289,5 + 0,Blitz,1,88,C50,Italian Game,4,3,3,White
8306,15 + 0,Rapid,2,-546,C42,Petroff Defense,2,4,1,Black
8323,30 + 25,Classic,3,-384,B20,Sicilian Defense,1,1,2,White
8344,30 + 25,Classic,3,53,D00,Queen Pawn Game,3,1,3,White
8347,5 + 5,Blitz,1,127,D00,Queen Pawn Game,3,8,7,Black
8350,15 + 0,Rapid,2,-40,C50,Italian Game,4,3,1,Black
8383,30 + 0,Classic,3,-50,B20,Sicilian Defense,1,2,0,Black
8393,10 + 0,Rapid,2,-2,C50,Italian Game,4,4,3,Black
8394,5 + 0,Blitz,1,31,D00,Queen Pawn Game,3,5,6,Black
8401,15 + 0,Rapid,2,-68,D00,Queen Pawn Game,3,3,0,Black
8402,10 + 15,Rapid,2,-30,D00,Queen Pawn Game,3,3,3,Black
8406,15 + 0,Rapid,2,-5,B20,Sicilian Defense,1,2,1,Black
8409,5 + 0,Blitz,1,6,C50,Italian Game,4,5,2,Black
8414,30 + 25,Classic,3,50,C42,Petroff Defense,2,0,1,White
8418,15 + 0,Rapid,2,-128,B20,Sicilian Defense,1,2,0,Black
8427,60 + 0,Classic,3,-37,C50,Italian Game,4,0,3,White
8429,3 + 2,Blitz,1,-7,C50,Italian Game,4,8,9,Black
8441,3 + 2,Blitz,1,233,C42,Petroff Defense,2,5,6,Black
8460,5 + 0,Blitz,1,2,B20,Sicilian Defense,1,7,4,Black
8462,15 + 0,Rapid,2,-162,D00,Queen Pawn Game,3,5,1,Black
8473,3 + 2,Blitz,1,1,B20,Sicilian Defense,1,15,16,Draw
8477,5 + 0,Blitz,1,-4,C50,Italian Game,4,5,6,White
8491,10 + 0,Rapid,2,639,C50,Italian Game,4,2,2,White
8492,5 + 5,Blitz,1,-45,D00,Queen Pawn Game,3,20,21,Black
8499,60 + 10,Classic,3,-141,B20,Sicilian Defense,1,4,0,Black
8500,10 + 0,Rapid,2,148,C42,Petroff Defense,2,2,0,Black
8501,10 + 0,Rapid,2,130,D00,Queen Pawn Game,3,5,2,Black
8503,15 + 0,Rapid,2,19,D00,Queen Pawn Game,3,4,3,Black
8505,10 + 0,Rapid,2,-29,C42,Petroff Defense,2,1,3,White
8522,10 + 15,Rapid,2,481,D00,Queen Pawn Game,3,2,3,White
8523,30 + 25,Classic,3,-104,B20,Sicilian Defense,1,2,1,Black
8562,60 + 0,Classic,3,-331,B20,Sicilian Defense,1,1,0,Black
8564,15 + 0,Rapid,2,-120,D00,Queen Pawn Game,3,6,2,Black
8565,3 + 0,Blitz,1,-238,C42,Petroff Defense,2,8,9,Black
8566,15 + 0,Rapid,2,-175,C42,Petroff Defense,2,4,6,White
8567,3 + 0,Blitz,1,-107,D00,Queen Pawn Game,3,6,6,Black
8569,3 + 0,Blitz,1,-3,D00,Queen Pawn Game,3,13,11,Black
8571,60 + 10,Classic,3,20,D00,Queen Pawn Game,3,2,0,Black
8575,5 + 5,Blitz,1,41,C50,Italian Game,4,6,6,White
8582,60 + 10,Classic,3,129,C50,Italian Game,4,2,0,Black
8598,30 + 25,Classic,3,-866,D00,Queen Pawn Game,3,1,0,Black
8603,3 + 0,Blitz,1,1005,B20,Sicilian Defense,1,3,5,White
8608,10 + 15,Rapid,2,78,B20,Sicilian Defense,1,0,3,White
8634,10 + 15,Rapid,2,128,D00,Queen Pawn Game,3,2,4,White
8635,30 + 0,Classic,3,-418,C50,Italian Game,4,2,1,Black
8636,3 + 2,Blitz,1,295,B20,Sicilian Defense,1,6,9,White
8648,30 + 0,Classic,3,104,C50,Italian Game,4,3,0,White
8649,10 + 15,Rapid,2,93,D00,Queen Pawn Game,3,2,0,Black
8651,10 + 15,Rapid,2,-75,C50,Italian Game,4,3,5,White
8653,10 + 15,Rapid,2,77,D00,Queen Pawn Game,3,5,4,White
8657,10 + 0,Rapid,2,-20,C50,Italian Game,4,3,2,Black
8661,60 + 0,Classic,3,-59,D00,Queen Pawn Game,3,2,0,Black
8696,3 + 2,Blitz,1,-119,B20,Sicilian Defense,1,6,4,Black
8700,30 + 25,Classic,3,-38,C50,Italian Game,4,2,0,Black
8728,60 + 0,Classic,3,-122,D00,Queen Pawn Game,3,1,2,Draw
8755,30 + 25,Classic,3,114,B20,Sicilian Defense,1,1,0,Black
8765,30 + 25,Classic,3,1,D00,Queen Pawn Game,3,4,1,Black
8782,3 + 2,Blitz,1,139,D00,Queen Pawn Game,3,6,8,White
8785,10 + 0,Rapid,2,181,B20,Sicilian Defense,1,3,3,White
8786,10 + 0,Rapid,2,-503,C42,Petroff Defense,2,2,2,Black
8792,10 + 15,Rapid,2,-70,D00,Queen Pawn Game,3,1,3,White
8797,10 + 0,Rapid,2,-60,D00,Queen Pawn Game,3,1,3,White
8802,10 + 0,Rapid,2,-10,B20,Sicilian Defense,1,3,4,White
8803,3 + 2,Blitz,1,-25,B20,Sicilian Defense,1,5,6,White
8809,30 + 0,Classic,3,260,B20,Sicilian Defense,1,1,0,Black
8814,5 + 0,Blitz,1,-48,D00,Queen Pawn Game,3,9,9,Draw
8820,10 + 0,Rapid,2,33,B20,Sicilian Defense,1,3,3,Black
8824,3 + 0,Blitz,1,-18,C42,Petroff Defense,2,4,4,White
8825,10 + 15,Rapid,2,189,B20,Sicilian Defense,1,0,1,White
8841,3 + 2,Blitz,1,6,C50,Italian Game,4,6,6,Black
8843,15 + 0,Rapid,2,46,C50,Italian Game,4,3,2,Black
8859,5 + 5,Blitz,1,286,B20,Sicilian Defense,1,3,3,White
8861,3 + 2,Blitz,1,-115,B20,Sicilian Defense,1,6,3,Black
8866,10 + 0,Rapid,2,328,C42,Petroff Defense,2,1,2,White
8879,5 + 0,Blitz,1,-326,C50,Italian Game,4,3,4,White
8892,3 + 2,Blitz,1,80,B20,Sicilian Defense,1,8,8,White
8899,15 + 0,Rapid,2,-229,B20,Sicilian Defense,1,5,5,Black
8909,30 + 0,Classic,3,343,D00,Queen Pawn Game,3,1,0,Black
8916,15 + 0,Rapid,2,-23,D00,Queen Pawn Game,3,6,4,Black
8919,5 + 5,Blitz,1,-22,C42,Petroff Defense,2,4,3,Black
8920,30 + 25,Classic,3,3,D00,Queen Pawn Game,3,0,1,White
8921,5 + 0,Blitz,1,-84,C42,Petroff Defense,2,4,6,Black
8947,10 + 15,Rapid,2,-273,B20,Sicilian Defense,1,4,0,Black
8956,5 + 5,Blitz,1,-12,C50,Italian Game,4,10,9,Black
8968,3 + 2,Blitz,1,-199,C42,Petroff Defense,2,6,6,Black
8971,3 + 2,Blitz,1,-99,D00,Queen Pawn Game,3,7,7,White
8977,60 + 0,Classic,3,-18,B20,Sicilian Defense,1,3,1,Black
8983,10 + 15,Rapid,2,-13,C50,Italian Game,4,0,3,White
8991,10 + 15,Rapid,2,-37,B20,Sicilian Defense,1,1,3,White
8992,15 + 0,Rapid,2,-53,B20,Sicilian Defense,1,3,3,Black
9014,10 + 15,Rapid,2,-847,C50,Italian Game,4,4,2,Black
9015,3 + 0,Blitz,1,-57,C42,Petroff Defense,2,7,8,White
9022,15 + 0,Rapid,2,-208,D00,Queen Pawn Game,3,2,0,Black
9024,3 + 0,Blitz,1,171,C42,Petroff Defense,2,2,6,White
9046,3 + 2,Blitz,1,3,D00,Queen Pawn Game,3,3,4,Black
9071,60 + 10,Classic,3,167,B20,Sicilian Defense,1,1,0,Black
9079,10 + 15,Rapid,2,-117,B20,Sicilian Defense,1,3,0,Black
9083,10 + 0,Rapid,2,628,B20,Sicilian Defense,1,2,2,Black
9085,15 + 0,Rapid,2,86,B20,Sicilian Defense,1,2,3,White
9089,30 + 25,Classic,3,137,C42,Petroff Defense,2,0,2,White
9096,30 + 0,Classic,3,144,C50,Italian Game,4,1,1,Black
9105,10 + 0,Rapid,2,-402,B20,Sicilian Defense,1,3,0,Black
9124,30 + 25,Classic,3,313,C50,Italian Game,4,0,2,White
9128,60 + 0,Classic,3,-536,D00,Queen Pawn Game,3,1,0,Black
9139,10 + 0,Rapid,2,66,D00,Queen Pawn Game,3,2,5,White
9152,15 + 0,Rapid,2,283,D00,Queen Pawn Game,3,2,3,White
9158,5 + 5,Blitz,1,6,C42,Petroff Defense,2,4,8,White
9162,5 + 0,Blitz,1,-106,C50,Italian Game,4,7,5,Black
9174,30 + 0,Classic,3,16,C42,Petroff Defense,2,0,2,White
9182,60 + 10,Classic,3,-40,D00,Queen Pawn Game,3,3,2,Black
9186,30 + 25,Classic,3,17,D00,Queen Pawn Game,3,3,1,White
9201,10 + 0,Rapid,2,635,D00,Queen Pawn Game,3,0,2,White
9203,10 + 15,Rapid,2,631,C50,Italian Game,4,2,2,White
9212,60 + 0,Classic,3,27,B20,Sicilian Defense,1,3,1,White
9213,10 + 0,Rapid,2,4,B20,Sicilian Defense,1,3,2,White
9214,10 + 15,Rapid,2,24,B20,Sicilian Defense,1,3,3,Black
9216,10 + 15,Rapid,2,360,D00,Queen Pawn Game,3,2,1,Black
9253,30 + 25,Classic,3,84,C42,Petroff Defense,2,2,2,Black
9262,5 + 5,Blitz,1,-122,D00,Queen Pawn Game,3,7,4,Black
9271,5 + 0,Blitz,1,-21,B20,Sicilian Defense,1,10,6,Black
9272,30 + 25,Classic,3,-27,C50,Italian Game,4,0,2,White
9273,30 + 0,Classic,3,36,B20,Sicilian Defense,1,1,2,White
9275,5 + 0,Blitz,1,8,B20,Sicilian Defense,1,10,6,Black
9277,3 + 0,Blitz,1,-9,B20,Sicilian Defense,1,7,8,White
9286,5 + 0,Blitz,1,403,D00,Queen Pawn Game,3,9,6,White
9292,30 + 0,Classic,3,85,C42,Petroff Defense,2,0,3,White
9293,60 + 0,Classic,3,39,C50,Italian Game,4,1,0,Black
9310,15 + 0,Rapid,2,27,C50,Italian Game,4,2,3,White
9316,15 + 0,Rapid,2,28,C42,Petroff Defense,2,5,5,White
9322,5 + 0,Blitz,1,-269,C42,Petroff Defense,2,6,4,Black
9336,5 + 5,Blitz,1,23,D00,Queen Pawn Game,3,7,4,Black
9380,60 + 0,Classic,3,185,D00,Queen Pawn Game,3,0,1,White
9392,30 + 25,Classic,3,-137,C42,Petroff Defense,2,1,0,Black
9402,60 + 10,Classic,3,85,D00,Queen Pawn Game,3,1,1,White
9408,10 + 0,Rapid,2,-41,D00,Queen Pawn Game,3,3,1,Black
9412,10 + 15,Rapid,2,-156,D00,Queen Pawn Game,3,5,2,Black
9415,15 + 0,Rapid,2,0,C50,Italian Game,4,2,3,White
9441,5 + 0,Blitz,1,317,C50,Italian Game,4,13,13,White
9448,5 + 5,Blitz,1,64,C50,Italian Game,4,5,9,White
9452,10 + 0,Rapid,2,-140,C50,Italian Game,4,4,5,White
9464,5 + 0,Blitz,1,7,D00,Queen Pawn Game,3,6,7,White
9465,5 + 0,Blitz,1,-62,C50,Italian Game,4,4,4,White
9477,15 + 0,Rapid,2,-239,B20,Sicilian Defense,1,2,2,Draw
9487,5 + 5,Blitz,1,-483,D00,Queen Pawn Game,3,9,4,Black
9488,3 + 0,Blitz,1,-428,B20,Sicilian Defense,1,5,2,Black
9496,5 + 0,Blitz,1,37,C50,Italian Game,4,7,5,Black
9501,10 + 15,Rapid,2,9,D00,Queen Pawn Game,3,7,1,Black
9506,15 + 0,Rapid,2,-122,C42,Petroff Defense,2,2,5,White
9512,5 + 5,Blitz,1,-36,D00,Queen Pawn Game,3,7,5,Black
9515,30 + 25,Classic,3,24,D00,Queen Pawn Game,3,0,1,White
9518,10 + 15,Rapid,2,133,D00,Queen Pawn Game,3,2,4,Draw
9525,15 + 0,Rapid,2,26,C50,Italian Game,4,6,4,Black
9539,15 + 0,Rapid,2,-93,B20,Sicilian Defense,1,4,5,White
9543,60 + 10,Classic,3,-317,B20,Sicilian Defense,1,2,0,Black
9566,15 + 0,Rapid,2,-53,C42,Petroff Defense,2,4,6,White
9568,5 + 5,Blitz,1,12,D00,Queen Pawn Game,3,11,5,Black
9569,5 + 5,Blitz,1,114,B20,Sicilian Defense,1,5,3,Black
9583,10 + 0,Rapid,2,-108,C42,Petroff Defense,2,2,3,Draw
9591,60 + 0,Classic,3,406,D00,Queen Pawn Game,3,2,0,Black
9614,60 + 10,Classic,3,-86,B20,Sicilian Defense,1,0,1,White
9661,60 + 0,Classic,3,49,D00,Queen Pawn Game,3,0,2,White
9662,10 + 15,Rapid,2,416,D00,Queen Pawn Game,3,0,2,White
9670,15 + 0,Rapid,2,136,B20,Sicilian Defense,1,0,4,White
9671,15 + 0,Rapid,2,-136,C50,Italian Game,4,2,3,White
9673,30 + 25,Classic,3,12,B20,Sicilian Defense,1,0,1,White
9681,10 + 0,Rapid,2,97,C50,Italian Game,4,4,3,White
9682,10 + 0,Rapid,2,225,C50,Italian Game,4,1,3,White
9683,60 + 10,Classic,3,269,C50,Italian Game,4,0,2,White
9691,10 + 15,Rapid,2,-31,B20,Sicilian Defense,1,2,3,White
9692,60 + 0,Classic,3,-67,D00,Queen Pawn Game,3,3,1,Black
9696,15 + 0,Rapid,2,7,B20,Sicilian Defense,1,3,4,Black
9700,3 + 2,Blitz,1,188,B20,Sicilian Defense,1,3,5,Black
9701,5 + 5,Blitz,1,-19,B20,Sicilian Defense,1,3,7,White
9724,10 + 0,Rapid,2,521,B20,Sicilian Defense,1,2,0,Black
9728,60 + 10,Classic,3,-345,C50,Italian Game,4,2,3,White
9738,15 + 0,Rapid,2,252,C50,Italian Game,4,3,3,Black
9742,60 + 0,Classic,3,7,D00,Queen Pawn Game,3,2,1,White
9766,10 + 15,Rapid,2,38,C50,Italian Game,4,3,3,White
9769,30 + 0,Classic,3,-6,B20,Sicilian Defense,1,2,0,Black
9772,10 + 0,Rapid,2,-424,C50,Italian Game,4,3,3,Black
9783,5 + 0,Blitz,1,-233,C50,Italian Game,4,6,5,Black
9794,3 + 0,Blitz,1,66,D00,Queen Pawn Game,3,6,7,White
9814,60 + 10,Classic,3,62,D00,Queen Pawn Game,3,2,0,Black
9815,15 + 0,Rapid,2,-4,C42,Petroff Defense,2,2,6,White
9821,60 + 10,Classic,3,-70,D00,Queen Pawn Game,3,2,1,Black
9825,30 + 25,Classic,3,171,C42,Petroff Defense,2,1,2,White
9832,60 + 10,Classic,3,-112,D00,Queen Pawn Game,3,1,0,Draw
9837,5 + 5,Blitz,1,-35,D00,Queen Pawn Game,3,7,4,Black
9841,10 + 15,Rapid,2,-109,B20,Sicilian Defense,1,1,0,Black
9857,15 + 0,Rapid,2,237,D00,Queen Pawn Game,3,1,3,White
9859,3 + 2,Blitz,1,289,D00,Queen Pawn Game,3,5,8,White
9866,10 + 0,Rapid,2,-21,C50,Italian Game,4,4,1,Black
9875,15 + 0,Rapid,2,394,B20,Sicilian Defense,1,1,2,White
9886,5 + 0,Blitz,1,119,C42,Petroff Defense,2,9,11,White
9919,5 + 5,Blitz,1,46,B20,Sicilian Defense,1,6,7,Black
9921,5 + 5,Blitz,1,211,B20,Sicilian Defense,1,6,10,White
9931,3 + 2,Blitz,1,54,D00,Queen Pawn Game,3,5,8,White
9932,60 + 10,Classic,3,3,D00,Queen Pawn Game,3,0,2,White
9933,10 + 15,Rapid,2,-55,B20,Sicilian Defense,1,2,0,Black
9939,10 + 15,Rapid,2,148,C50,Italian Game,4,3,4,White
9943,30 + 0,Classic,3,211,C50,Italian Game,4,2,0,Black
9953,10 + 0,Rapid,2,-72,B20,Sicilian Defense,1,3,5,White
9956,5 + 5,Blitz,1,-188,B20,Sicilian Defense,1,6,6,Black
10002,15 + 0,Rapid,2,90,C42,Petroff Defense,2,1,0,Black
10010,15 + 0,Rapid,2,49,D00,Queen Pawn Game,3,4,1,Black
10012,5 + 5,Blitz,1,54,D00,Queen Pawn Game,3,13,12,Black
10035,60 + 10,Classic,3,326,D00,Queen Pawn Game,3,2,0,Black
10037,15 + 0,Rapid,2,-532,C50,Italian Game,4,2,2,Draw
10058,10 + 0,Rapid,2,59,D00,Queen Pawn Game,3,0,2,White
10060,3 + 0,Blitz,1,5,D00,Queen Pawn Game,3,5,9,Black
10067,15 + 0,Rapid,2,-565,D00,Queen Pawn Game,3,3,0,Black
10068,10 + 0,Rapid,2,15,C50,Italian Game,4,0,2,White
10070,60 + 0,Classic,3,42,C42,Petroff Defense,2,1,0,Black
10084,10 + 0,Rapid,2,-713,B20,Sicilian Defense,1,1,1,Black
10111,3 + 0,Blitz,1,-12,C50,Italian Game,4,3,5,White
10112,5 + 5,Blitz,1,0,D00,Queen Pawn Game,3,9,10,White
10113,5 + 0,Blitz,1,-45,D00,Queen Pawn Game,3,3,8,White
10117,3 + 0,Blitz,1,94,D00,Queen Pawn Game,3,7,5,Black
10120,5 + 5,Blitz,1,25,D00,Queen Pawn Game,3,18,16,Draw
10123,60 + 0,Classic,3,-390,B20,Sicilian Defense,1,2,0,Black
10126,15 + 0,Rapid,2,-95,B20,Sicilian Defense,1,2,0,Black
10140,10 + 0,Rapid,2,101,B20,Sicilian Defense,1,4,4,Draw
10159,3 + 0,Blitz,1,72,D00,Queen Pawn Game,3,3,5,Black
10170,10 + 0,Rapid,2,309,D00,Queen Pawn Game,3,4,3,Black
10180,3 + 2,Blitz,1,-101,C42,Petroff Defense,2,3,3,Black
10196,30 + 25,Classic,3,-406,C42,Petroff Defense,2,0,2,White
10198,10 + 15,Rapid,2,18,C50,Italian Game,4,3,1,Black
10208,60 + 10,Classic,3,-366,C42,Petroff Defense,2,1,2,White
10210,5 + 0,Blitz,1,-377,B20,Sicilian Defense,1,3,6,White
10214,5 + 0,Blitz,1,-139,C50,Italian Game,4,6,4,Black
10215,15 + 0,Rapid,2,-171,C42,Petroff Defense,2,5,5,Black
10238,10 + 0,Rapid,2,-127,D00,Queen Pawn Game,3,2,1,Black
10279,3 + 0,Blitz,1,-7,D00,Queen Pawn Game,3,6,6,Black
10293,10 + 15,Rapid,2,-320,B20,Sicilian Defense,1,1,1,Black
10314,10 + 15,Rapid,2,-56,B20,Sicilian Defense,1,4,3,Black
10334,3 + 0,Blitz,1,120,C50,Italian Game,4,6,7,White
10372,15 + 0,Rapid,2,-28,C50,Italian Game,4,1,0,Black
10379,5 + 0,Blitz,1,-66,C50,Italian Game,4,5,7,White
10417,5 + 5,Blitz,1,-83,B20,Sicilian Defense,1,17,18,Draw
10431,15 + 0,Rapid,2,64,C50,Italian Game,4,0,3,White
10442,5 + 0,Blitz,1,16,D00,Queen Pawn Game,3,4,4,White
10456,30 + 25,Classic,3,302,C50,Italian Game,4,0,2,White
10472,10 + 15,Rapid,2,-126,B20,Sicilian Defense,1,2,5,White
10478,10 + 0,Rapid,2,-445,B20,Sicilian Defense,1,2,0,Black
10481,15 + 0,Rapid,2,-295,B20,Sicilian Defense,1,3,1,Black
10495,15 + 0,Rapid,2,37,C50,Italian Game,4,3,5,White
10518,30 + 25,Classic,3,30,C50,Italian Game,4,3,1,Black
10522,15 + 0,Rapid,2,-98,C42,Petroff Defense,2,5,1,Black
10543,5 + 5,Blitz,1,23,D00,Queen Pawn Game,3,8,7,White
10546,3 + 2,Blitz,1,99,C50,Italian Game,4,6,6,White
10571,5 + 5,Blitz,1,90,C50,Italian Game,4,2,6,White
10573,3 + 2,Blitz,1,1,B20,Sicilian Defense,1,6,7,Black
10601,10 + 15,Rapid,2,-10,D00,Queen Pawn Game,3,3,3,White
10617,3 + 2,Blitz,1,-25,C50,Italian Game,4,9,5,Black
10634,60 + 10,Classic,3,-113,C50,Italian Game,4,0,2,White
10635,3 + 0,Blitz,1,-63,D00,Queen Pawn Game,3,6,6,White
